Au,Ag,Cu,Pt,Al,24-bit color,R,G,B
0.05,0.2,0.6,0.05,0.1,15587014,237,214,198
0.2,0.4,0.25,0.05,0.1,15587009,237,214,193
0.2,0.2,0.5,0.05,0.05,15587004,237,214,188
0.1,0.1,0.65,0.1,0.05,15586249,237,211,201
0.15,0.05,0.7,0.05,0.05,15586249,237,211,201
0.25,0.1,0.4,0.1,0.15,15586249,237,211,201
0.2,0.35,0.3,0.05,0.1,15586239,237,211,191
0.3,0.15,0.3,0.1,0.15,15586236,237,211,188
0.2,0.15,0.55,0.05,0.05,15586231,237,211,183
0.6,0.1,0.1,0.15,0.05,15586223,237,211,175
0.2,0.3,0.35,0.05,0.1,15585729,237,209,193
0.65,0.05,0.1,0.15,0.05,15584938,237,206,170
0.05,0.6,0.05,0.1,0.2,15395549,234,234,221
0.4,0.25,0.05,0.25,0.05,15395014,234,232,198
0.05,0.35,0.25,0.25,0.1,15394269,234,229,221
0.05,0.4,0.2,0.25,0.1,15394269,234,229,221
0.05,0.4,0.3,0.2,0.05,15394269,234,229,221
0.1,0.35,0.3,0.2,0.05,15394267,234,229,219
0.2,0.6,0.05,0.05,0.1,15394264,234,229,216
0.1,0.6,0.15,0.05,0.1,15394259,234,229,211
0.45,0.2,0.05,0.25,0.05,15394244,234,229,196
0.05,0.3,0.4,0.2,0.05,15393499,234,226,219
0.05,0.35,0.35,0.2,0.05,15393499,234,226,219
0.1,0.3,0.35,0.2,0.05,15393499,234,226,219
0.05,0.6,0.2,0.05,0.1,15393494,234,226,214
0.2,0.55,0.1,0.05,0.1,15393491,234,226,211
0.2,0.55,0.05,0.15,0.05,15393481,234,226,201
0.3,0.3,0.1,0.25,0.05,15393476,234,226,196
0.4,0.15,0.05,0.35,0.05,15393476,234,226,196
0.55,0.2,0.05,0.1,0.1,15393466,234,226,186
0.05,0.65,0.1,0.1,0.1,15392989,234,224,221
0.05,0.25,0.45,0.2,0.05,15392987,234,224,219
0.05,0.6,0.15,0.1,0.1,15392987,234,224,219
0.1,0.55,0.05,0.25,0.05,15392984,234,224,216
0.05,0.25,0.5,0.05,0.15,15392979,234,224,211
0.05,0.3,0.45,0.05,0.15,15392979,234,224,211
0.05,0.45,0.35,0.05,0.1,15392979,234,224,211
0.1,0.55,0.2,0.05,0.1,15392979,234,224,211
0.5,0.1,0.05,0.3,0.05,15392966,234,224,198
0.25,0.6,0.05,0.05,0.05,15392956,234,224,188
0.05,0.4,0.4,0.05,0.1,15392211,234,221,211
0.05,0.15,0.6,0.05,0.15,15392209,234,221,209
0.05,0.2,0.55,0.05,0.15,15392209,234,221,209
0.2,0.5,0.15,0.05,0.1,15392209,234,221,209
0.55,0.15,0.1,0.1,0.1,15392196,234,221,196
0.55,0.2,0.05,0.15,0.05,15392168,234,221,168
0.05,0.35,0.45,0.05,0.1,15391697,234,219,209
0.5,0.1,0.2,0.1,0.1,15391663,234,219,175
0.6,0.15,0.15,0.05,0.05,15390903,234,216,183
0.5,0.1,0.05,0.25,0.1,15390901,234,216,181
0.5,0.05,0.25,0.1,0.1,15390893,234,216,173
0.05,0.1,0.75,0.05,0.05,15390409,234,214,201
0.3,0.2,0.25,0.1,0.15,15390409,234,214,201
0.05,0.05,0.8,0.05,0.05,15390406,234,214,198
0.6,0.1,0.2,0.05,0.05,15390391,234,214,183
0.55,0.15,0.1,0.15,0.05,15389593,234,211,153
0.1,0.05,0.7,0.1,0.05,15389126,234,209,198
0.2,0.1,0.6,0.05,0.05,15389109,234,209,181
0.5,0.05,0.1,0.25,0.1,15389103,234,209,175
0.25,0.25,0.3,0.05,0.15,15388351,234,206,191
0.2,0.05,0.65,0.05,0.05,15388341,234,206,181
0.25,0.2,0.35,0.05,0.15,15387834,234,204,186
0.25,0.15,0.4,0.05,0.15,15386295,234,198,183
0.2,0.15,0.45,0.05,0.15,15386293,234,198,181
0.2,0.1,0.5,0.05,0.15,15385778,234,196,178
0.25,0.1,0.45,0.05,0.15,15385778,234,196,178
0.2,0.3,0.05,0.35,0.1,15263958,232,232,214
0.05,0.6,0.05,0.25,0.05,15263197,232,229,221
0.05,0.45,0.1,0.3,0.1,15263195,232,229,219
0.05,0.5,0.05,0.3,0.1,15263195,232,229,219
0.15,0.4,0.05,0.3,0.1,15263195,232,229,219
0.15,0.55,0.05,0.2,0.05,15263195,232,229,219
0.05,0.65,0.05,0.2,0.05,15262427,232,226,219
0.05,0.7,0.05,0.1,0.1,15262427,232,226,219
0.05,0.4,0.15,0.3,0.1,15262424,232,226,216
0.1,0.25,0.4,0.2,0.05,15262424,232,226,216
0.15,0.55,0.1,0.1,0.1,15262422,232,226,214
0.15,0.6,0.05,0.1,0.1,15262422,232,226,214
0.25,0.25,0.05,0.35,0.1,15262409,232,226,201
0.3,0.2,0.05,0.35,0.1,15262409,232,226,201
0.35,0.3,0.05,0.25,0.05,15262409,232,226,201
0.05,0.15,0.55,0.2,0.05,15261915,232,224,219
0.05,0.2,0.5,0.2,0.05,15261915,232,224,219
0.05,0.05,0.65,0.2,0.05,15261912,232,224,216
0.05,0.1,0.6,0.2,0.05,15261912,232,224,216
0.1,0.2,0.45,0.2,0.05,15261912,232,224,216
0.05,0.45,0.25,0.2,0.05,15261910,232,224,214
0.1,0.5,0.2,0.1,0.1,15261910,232,224,214
0.15,0.5,0.15,0.1,0.1,15261907,232,224,211
0.05,0.55,0.25,0.05,0.1,15261905,232,224,209
0.35,0.15,0.05,0.4,0.05,15261894,232,224,198
0.35,0.4,0.05,0.1,0.1,15261894,232,224,198
0.4,0.1,0.05,0.35,0.1,15261889,232,224,193
0.05,0.55,0.2,0.1,0.1,15261144,232,221,216
0.1,0.45,0.25,0.1,0.1,15261139,232,221,211
0.05,0.1,0.65,0.05,0.15,15261137,232,221,209
0.15,0.45,0.2,0.1,0.1,15261137,232,221,209
0.05,0.4,0.05,0.15,0.35,15261121,232,221,193
0.4,0.05,0.05,0.4,0.1,15261121,232,221,193
0.45,0.05,0.05,0.35,0.1,15261119,232,221,191
0.1,0.15,0.6,0.05,0.1,15260630,232,219,214
0.1,0.1,0.65,0.05,0.1,15260627,232,219,211
0.1,0.15,0.5,0.2,0.05,15260627,232,219,211
0.1,0.2,0.55,0.05,0.1,15260627,232,219,211
0.1,0.05,0.7,0.05,0.1,15260625,232,219,209
0.1,0.4,0.3,0.1,0.1,15260625,232,219,209
0.05,0.05,0.7,0.05,0.15,15260622,232,219,206
0.05,0.3,0.5,0.05,0.1,15260622,232,219,206
0.1,0.5,0.25,0.05,0.1,15260622,232,219,206
0.15,0.4,0.25,0.1,0.1,15260622,232,219,206
0.1,0.4,0.3,0.05,0.15,15260617,232,219,201
0.15,0.4,0.25,0.05,0.15,15260617,232,219,201
0.5,0.05,0.05,0.3,0.1,15260604,232,219,188
0.2,0.5,0.05,0.2,0.05,15260599,232,219,183
0.55,0.15,0.05,0.2,0.05,15260586,232,219,170
0.1,0.55,0.15,0.1,0.1,15259857,232,216,209
0.1,0.25,0.5,0.05,0.1,15259854,232,216,206
0.1,0.45,0.3,0.05,0.1,15259854,232,216,206
0.15,0.55,0.15,0.05,0.1,15259849,232,216,201
0.45,0.15,0.05,0.25,0.1,15259816,232,216,168
0.15,0.5,0.2,0.05,0.1,15259334,232,214,198
0.55,0.05,0.05,0.3,0.05,15259329,232,214,193
0.15,0.45,0.25,0.05,0.1,15258049,232,209,193
0.2,0.2,0.4,0.05,0.15,15255991,232,201,183
0.55,0.1,0.15,0.15,0.05,15255945,232,201,137
0.2,0.25,0.4,0.05,0.1,15255218,232,198,178
0.2,0.05,0.55,0.05,0.15,15252136,232,186,168
0.65,0.05,0.15,0.1,0.05,15247451,232,168,91
0.1,0.6,0.05,0.1,0.15,15066582,229,229,214
0.2,0.35,0.05,0.3,0.1,15066582,229,229,214
0.05,0.35,0.2,0.3,0.1,15065816,229,226,216
0.2,0.55,0.05,0.1,0.1,15065816,229,226,216
0.1,0.5,0.05,0.3,0.05,15065814,229,226,214
0.2,0.4,0.05,0.3,0.05,15065806,229,226,206
0.25,0.2,0.05,0.4,0.1,15065806,229,226,206
0.25,0.3,0.05,0.3,0.1,15065806,229,226,206
0.3,0.45,0.05,0.1,0.1,15065806,229,226,206
0.3,0.25,0.05,0.3,0.1,15065801,229,226,201
0.05,0.3,0.25,0.3,0.1,15065304,229,224,216
0.05,0.2,0.35,0.3,0.1,15065302,229,224,214
0.05,0.25,0.3,0.3,0.1,15065302,229,224,214
0.2,0.25,0.05,0.4,0.1,15065297,229,224,209
0.2,0.45,0.05,0.25,0.05,15065297,229,224,209
0.25,0.5,0.05,0.1,0.1,15065297,229,224,209
0.25,0.35,0.1,0.25,0.05,15065292,229,224,204
0.25,0.4,0.05,0.25,0.05,15065292,229,224,204
0.3,0.15,0.05,0.4,0.1,15065289,229,224,201
0.35,0.15,0.05,0.35,0.1,15065286,229,224,198
0.35,0.2,0.05,0.3,0.1,15065284,229,224,196
0.05,0.05,0.6,0.25,0.05,15064536,229,221,216
0.05,0.15,0.4,0.3,0.1,15064536,229,221,216
0.05,0.1,0.45,0.3,0.1,15064534,229,221,214
0.05,0.4,0.3,0.1,0.15,15064529,229,221,209
0.15,0.65,0.05,0.05,0.1,15064529,229,221,209
0.25,0.1,0.05,0.55,0.05,15064524,229,221,204
0.15,0.35,0.05,0.35,0.1,15064518,229,221,198
0.35,0.2,0.1,0.3,0.05,15064513,229,221,193
0.3,0.35,0.05,0.25,0.05,15064511,229,221,191
0.45,0.3,0.05,0.1,0.1,15064503,229,221,183
0.05,0.3,0.35,0.25,0.05,15064019,229,219,211
0.1,0.6,0.05,0.2,0.05,15064019,229,219,211
0.15,0.35,0.3,0.1,0.1,15064014,229,219,206
0.15,0.6,0.1,0.05,0.1,15064014,229,219,206
0.45,0.05,0.1,0.35,0.05,15064014,229,219,206
0.5,0.25,0.05,0.1,0.1,15063994,229,219,186
0.1,0.1,0.55,0.2,0.05,15063251,229,216,211
0.1,0.65,0.05,0.1,0.1,15063249,229,216,209
0.1,0.35,0.35,0.1,0.1,15063246,229,216,206
0.25,0.35,0.15,0.1,0.15,15063246,229,216,206
0.1,0.35,0.35,0.05,0.15,15063244,229,216,204
0.15,0.3,0.35,0.1,0.1,15063244,229,216,204
0.45,0.1,0.05,0.3,0.1,15063226,229,216,186
0.5,0.15,0.05,0.25,0.05,15063213,229,216,173
0.1,0.05,0.6,0.2,0.05,15062739,229,214,211
0.1,0.6,0.1,0.1,0.1,15062737,229,214,209
0.1,0.25,0.45,0.1,0.1,15062734,229,214,206
0.1,0.3,0.4,0.1,0.1,15062732,229,214,204
